基金代码,基金名称,一级分类,二级分类,基金公司,基金规模(亿),风险等级,管理费(%),YTD(%),近1年(%),近3年(%),近5年(%),1年最大回撤(%),1年夏普比率,持有人数,总管理规模(亿),评级,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
017533,平安研究优选混合C,混合型,混合型-偏股,平安基金,5.3,中高,1.20%（每年）,43.08,70.06,,,-16.6,2.01,1,91.32亿(12只基金),blue,61.74,49.64,59.54,57.96,57.61,57.61,0.0,16.96
009383,人保稳进配置三个月持有(FOF),FOF,FOF-稳健型,人保资产,0.33,中,0.80%（每年）,4.15,9.61,13.48,5.6,-3.98,1.41,0,0.58亿(5只基金),orange,37.31,49.92,45.83,44.45,45.39,44.73,45.17,45.17
009385,天弘永裕平衡养老三年持有期混合发起式(FOF)A,FOF,FOF-均衡型,天弘基金,1.73,中高,0.70%（每年）,5.67,15.19,24.71,15.54,-5.86,1.35,1,35.99亿(13只基金),orange,45.06,38.09,43.03,47.86,48.26,47.92,47.72,47.72
017546,弘毅远方中短债债券C,债券型,债券型-中短债,弘毅远方基金,0.2,中低,0.30%（每年）,1.07,1.77,,,-0.26,-0.81,0,0.52亿(5只基金),blue,58.71,62.5,41.96,34.96,43.2,43.2,0.0,12.81
017552,南方景气前瞻混合C,混合型,混合型-偏股,南方基金,10.67,中高,1.20%（每年）,49.78,137.05,115.35,,-15.91,2.94,1,18.14亿(6只基金),orange,44.72,67.07,72.21,62.27,57.76,57.76,0.0,17.19
009387,嘉实稳福混合A,混合型,混合型-偏债,嘉实基金,2.77,中,0.60%（每年）,3.93,4.26,8.78,15.68,-1.48,0.84,1,37.46亿(11只基金),blue,59.88,48.55,44.29,48.29,45.12,48.86,49.11,49.11
017553,交银瑞鑫六个月持有期混合C,混合型,混合型-偏债,交银施罗德基金,0.52,中,0.60%（每年）,2.88,6.46,8.4,,-1.62,1.36,0,17.09亿(12只基金),blue,50.81,47.55,42.08,41.21,41.13,41.13,0.0,14.09
017554,尚正中证同业存单AAA指数7天持有,指数型,指数型-固收,尚正基金,3.0,中低,0.20%（每年）,0.49,1.17,5.33,,-0.02,-8.32,3,33.54亿(11只基金),orange,30.99,31.05,33.51,28.4,33.71,33.71,0.0,11.89
017566,惠升中债0-3年政策性金融债A,指数型,指数型-固收,惠升基金,27.45,中低,0.15%（每年）,0.29,0.26,2.54,,-0.95,-1.62,27,140.93亿(16只基金),orange,35.74,36.64,32.46,32.66,42.92,42.92,0.0,14.2
017824,华安新材料主题股票发起式A,股票型,股票型,华安基金,2.43,中高,1.20%（每年）,14.3,82.94,,,-11.07,2.25,0,10.50亿(6只基金),blue,57.24,72.72,73.65,65.95,63.54,0.0,0.0,14.92
013431,华泰柏瑞景气汇选三年持有期混合A,混合型,混合型-偏股,华泰柏瑞基金,4.22,中高,1.20%（每年）,-4.31,20.21,42.65,,-14.62,1.19,3,317.52亿(19只基金),green,79.42,61.35,56.32,55.34,54.83,54.28,54.28,26.61
013436,大成景气精选六个月持有混合C,混合型,混合型-偏股,大成基金,12.99,中高,1.20%（每年）,-20.09,13.09,28.58,,-37.68,0.54,1,207.76亿(14只基金),green,91.01,71.7,75.61,69.21,63.76,60.27,60.27,29.17
017720,华夏消费臻选混合发起式C,混合型,混合型-偏股,华夏基金,2.67,中高,1.20%（每年）,-13.91,-17.3,4.68,,-25.65,-1.22,1,31.86亿(14只基金),orange,40.11,32.7,47.36,54.45,51.44,51.44,0.0,17.07
017722,华夏汽车产业混合C,混合型,混合型-偏股,华夏基金,0.29,中高,1.20%（每年）,-7.88,1.61,12.61,,-16.01,0.13,0,15.92亿(5只基金),orange,41.5,36.7,49.72,58.9,57.3,57.3,0.0,18.48
